author-name,rev-str,file,added-atoms,added-non-atoms
Marcelo Henrique Cerri,1,1,0,0
Julien Grall,1,1,0,0
Christophe Lombard,1,1,0,52
Vishakha Narvekar,1,1,0,29
David Howells,3,15,7,144
Larry Finger,1,1,0,0
Namhyung Kim,1,1,1,15
Felipe Balbi,1,1,0,11
Andi Kleen,1,1,0,12
Robin Murphy,1,1,0,0
Kalyan Kinthada,1,1,0,0
Baolin Wang,2,2,0,5
JingPiao Chen,1,1,0,2
Will Deacon,4,4,2,25
Anton Blanchard,1,1,0,0
Sergey Senozhatsky,2,2,0,7
Shaohua Li,7,7,6,184
Eric Biggers,31,22,21,505
Eric Sandeen,1,1,0,28
Coly Li,1,1,0,7
Jason A. Donenfeld,4,3,4,108
Sean Young,1,3,6,414
Alexander Levin,1,1,0,18
Christophe Leroy,1,1,0,1
Steven Rostedt (VMware),4,3,6,74
Luis R. Rodriguez,1,1,0,0
Michal Suchanek,1,1,0,92
Sakari Ailus,6,5,6,103
Colin Ian King,17,17,0,40
Kuppuswamy Sathyanarayanan,2,1,16,92
Matteo Croce,2,2,0,2
Aleksander Morgado,2,2,1,62
Bartlomiej Zolnierkiewicz,2,2,7,144
Mathias Krause,1,2,0,0
Davidlohr Bueso,1,1,0,0
Mike Rapoport,1,1,0,0
Ethan Zhao,1,1,0,0
Michal Hocko,5,6,5,35
Ravi Bangoria,1,1,0,48
Timur Tabi,2,4,3,139
Ville Syrjälä,3,3,0,67
Taeung Song,1,1,0,0
K. Y. Srinivasan,1,4,1,70
Eric Dumazet,11,19,7,263
Lukas Wunner,2,1,0,52
Tom Lendacky,3,3,0,0
Jaejoong Kim,1,1,0,35
Johan Hovold,5,4,0,54
Borislav Petkov,3,5,1,61
Prateek Sood,1,1,0,4
David Kozub,1,1,1,6
Roi Dayan,1,1,0,12
Herbert Xu,2,2,4,57
James Morris,2,24,28,572
Lin Zhang,1,2,1,16
"Misono, Tomohiro",1,2,0,0
Satish Kharat,1,1,0,8
Andreas Gruenbacher,3,3,1,14
John David Anglin,1,1,0,0
Boqun Feng,2,3,1,27
Takashi Iwai,12,15,27,611
Jeff Layton,1,1,2,20
Thomas Petazzoni,2,3,0,16
Eric Sesterhenn,1,1,1,5
Jean-Philippe Brucker,1,1,0,0
Todd Kjos,1,1,4,145
Alexandre Torgue,2,4,0,0
Pablo Neira Ayuso,1,1,1,4
Rafael J. Wysocki,8,12,15,118
