project,comment,atom,count
mysql-server,true,pre-increment,70
clang,false,logic-as-control-flow,65
vim,false,pre-increment,148
mongo,false,operator-precedence,18373
nginx,false,post-increment,633
subversion,false,conditional,1708
vim,true,type-conversion,3
mysql-server,false,repurposed-variable,1779
mysql-server,false,post-increment,3726
gecko-dev,false,omitted-curly-braces,110299
webkit,true,macro-operator-precedence,6
httpd,true,pre-increment,4
webkit,false,post-increment,2405
httpd,false,logic-as-control-flow,171
subversion,false,pre-increment,86
gecko-dev,true,assignment-as-value,315
gcc,false,,32080166
vim,true,implicit-predicate,114
linux,true,comma-operator,161
webkit,false,,14781487
vim,false,omitted-curly-braces,6588
freebsd,true,conditional,1212
subversion,true,omitted-curly-braces,254
clang,true,pre-increment,145
clang,false,implicit-predicate,1424
httpd,false,conditional,1101
mysql-server,true,post-increment,261
vim,true,preprocessor-in-statement,18
linux,true,literal-encoding,397
subversion,false,,2658157
vim,true,omitted-curly-braces,903
linux,true,preprocessor-in-statement,13
linux,false,omitted-curly-braces,549567
subversion,false,comma-operator,109
emacs,false,conditional,1481
freebsd,false,omitted-curly-braces,495082
subversion,true,implicit-predicate,14
freebsd,false,pre-increment,7627
git,true,comma-operator,4
nginx,true,repurposed-variable,2
emacs,true,operator-precedence,157
linux,true,post-increment,1720
emacs,true,logic-as-control-flow,21
linux,false,conditional,42093
clang,false,literal-encoding,16
gcc,true,pre-increment,82
subversion,true,,52210
nginx,true,conditional,2
linux,true,type-conversion,324
freebsd,true,preprocessor-in-statement,94
subversion,true,post-increment,17
linux,false,implicit-predicate,134960
mongo,false,conditional,5682
vim,false,implicit-predicate,969
gecko-dev,false,preprocessor-in-statement,1284
emacs,true,repurposed-variable,25
emacs,false,post-increment,741
linux,true,,3138913
clang,false,post-increment,606
gecko-dev,true,omitted-curly-braces,5129
gecko-dev,true,comma-operator,270
httpd,false,,991826
subversion,false,logic-as-control-flow,24
nginx,true,assignment-as-value,4
subversion,true,pre-increment,1
mongo,true,post-increment,237
linux,true,pre-increment,175
mysql-server,false,conditional,6152
gcc,false,literal-encoding,979
vim,false,type-conversion,5
linux,false,pre-increment,5216
nginx,true,post-increment,8
git,true,operator-precedence,138
emacs,true,pre-increment,11
mysql-server,true,comma-operator,130
vim,true,conditional,31
httpd,true,logic-as-control-flow,3
httpd,true,comma-operator,7
mysql-server,false,literal-encoding,13
httpd,false,type-conversion,27
vim,false,comma-operator,43
vim,true,logic-as-control-flow,3
git,false,operator-precedence,6348
emacs,true,conditional,24
freebsd,true,operator-precedence,7183
mysql-server,false,comma-operator,4551
gcc,false,post-increment,8406
emacs,true,post-increment,47
nginx,false,implicit-predicate,50
httpd,false,preprocessor-in-statement,29
gecko-dev,true,literal-encoding,47
linux,false,macro-operator-precedence,414
git,true,type-conversion,1
gcc,false,comma-operator,4657
freebsd,true,logic-as-control-flow,129
gcc,false,implicit-predicate,41679
freebsd,false,assignment-as-value,40882
linux,false,,76927576
vim,false,preprocessor-in-statement,123
gcc,false,conditional,14514
httpd,true,repurposed-variable,3
freebsd,true,omitted-curly-braces,14272
gcc,false,operator-precedence,57422
mysql-server,false,,9280437
git,true,conditional,5
httpd,true,type-conversion,6
mysql-server,true,preprocessor-in-statement,10
linux,false,preprocessor-in-statement,2228
gcc,true,post-increment,388
clang,true,literal-encoding,2
mongo,false,implicit-predicate,1825
webkit,false,preprocessor-in-statement,239
gcc,true,logic-as-control-flow,18
clang,true,assignment-as-value,219
emacs,true,assignment-as-value,32
freebsd,true,macro-operator-precedence,9
git,false,pre-increment,209
webkit,false,conditional,9442
mongo,true,pre-increment,68
clang,true,,602826
git,true,omitted-curly-braces,332
clang,true,repurposed-variable,480
webkit,false,logic-as-control-flow,133
linux,false,assignment-as-value,16481
mongo,true,type-conversion,25
git,false,type-conversion,7
httpd,true,preprocessor-in-statement,1
clang,false,preprocessor-in-statement,659
mongo,true,comma-operator,112
subversion,false,type-conversion,6
mongo,true,literal-encoding,96
git,false,,1158478
linux,true,omitted-curly-braces,10415
webkit,true,post-increment,82
mongo,false,pre-increment,2341
freebsd,false,post-increment,21429
httpd,false,comma-operator,140
emacs,false,implicit-predicate,1589
clang,true,reversed-subscript,5
subversion,false,omitted-curly-braces,14054
webkit,true,operator-precedence,676
git,true,pre-increment,6
subversion,true,repurposed-variable,11
git,true,logic-as-control-flow,7
linux,true,assignment-as-value,525
vim,false,reversed-subscript,2
webkit,true,repurposed-variable,78
emacs,false,assignment-as-value,934
gcc,true,type-conversion,524
mongo,false,type-conversion,257
emacs,false,pre-increment,194
gcc,true,implicit-predicate,1913
linux,false,repurposed-variable,20676
nginx,false,operator-precedence,3390
git,true,repurposed-variable,12
emacs,false,logic-as-control-flow,276
emacs,true,,40839
mysql-server,false,operator-precedence,21614
vim,true,operator-precedence,200
clang,true,comma-operator,202
gecko-dev,true,type-conversion,219
webkit,false,comma-operator,5047
git,false,post-increment,736
gecko-dev,false,macro-operator-precedence,1034
emacs,true,comma-operator,22
subversion,false,preprocessor-in-statement,67
clang,true,preprocessor-in-statement,6
linux,true,macro-operator-precedence,80
gcc,false,reversed-subscript,11
gcc,true,macro-operator-precedence,3
freebsd,false,conditional,40280
git,false,assignment-as-value,689
httpd,true,macro-operator-precedence,3
gecko-dev,false,,41693629
nginx,true,logic-as-control-flow,1
gecko-dev,true,conditional,710
freebsd,false,literal-encoding,455
freebsd,true,implicit-predicate,1979
git,false,logic-as-control-flow,97
freebsd,true,comma-operator,879
gecko-dev,true,implicit-predicate,423
webkit,false,macro-operator-precedence,356
gecko-dev,false,logic-as-control-flow,846
mongo,true,macro-operator-precedence,5
webkit,true,omitted-curly-braces,876
git,false,preprocessor-in-statement,13
freebsd,false,macro-operator-precedence,1350
httpd,true,implicit-predicate,56
mysql-server,false,macro-operator-precedence,367
emacs,true,implicit-predicate,64
linux,false,comma-operator,8800
vim,false,assignment-as-value,433
gecko-dev,false,assignment-as-value,10718
