proj,in-function,comment,atom,count
gcc,false,true,macro-operator-precedence,1
linux,false,false,pre-increment,5
clang,true,false,,5872873
linux,false,false,logic-as-control-flow,65
freebsd,false,false,operator-precedence,1131
mysql-server,false,false,type-conversion,3
freebsd,false,true,macro-operator-precedence,48
emacs,true,false,,952262
mongo,false,false,omitted-curly-braces,32
git,false,false,,104070
mongo,true,false,operator-precedence,17609
mongo,false,true,type-conversion,1
emacs,true,true,post-increment,34
freebsd,true,false,conditional,40063
mysql-server,true,true,pre-increment,40
nginx,true,false,pre-increment,80
emacs,true,true,pre-increment,3
subversion,true,false,comma-operator,87
subversion,true,true,pre-increment,1
mysql-server,false,false,macro-operator-precedence,380
git,false,false,assignment-as-value,1
emacs,true,true,operator-precedence,107
clang,true,false,omitted-curly-braces,58088
mongo,false,false,implicit-predicate,549
mysql-server,true,false,assignment-as-value,7736
vim,true,true,conditional,15
mysql-server,false,false,pre-increment,1
gecko-dev,true,false,omitted-curly-braces,109358
clang,false,false,implicit-predicate,39
subversion,false,false,macro-operator-precedence,19
emacs,false,false,implicit-predicate,184
vim,true,false,repurposed-variable,299
mongo,false,true,conditional,37
clang,false,true,comma-operator,50
linux,true,true,assignment-as-value,254
emacs,true,false,logic-as-control-flow,200
clang,true,false,logic-as-control-flow,68
freebsd,true,false,,50043646
freebsd,true,true,omitted-curly-braces,8370
webkit,false,false,assignment-as-value,12
linux,true,false,literal-encoding,489
git,false,false,macro-operator-precedence,27
mongo,true,true,operator-precedence,510
httpd,true,false,operator-precedence,2721
mongo,false,true,,178386
linux,true,false,repurposed-variable,19531
gcc,false,true,operator-precedence,129
webkit,true,false,,11079936
gcc,true,false,macro-operator-precedence,1
freebsd,false,false,macro-operator-precedence,1313
emacs,true,true,conditional,13
gecko-dev,false,false,assignment-as-value,15
linux,true,false,type-conversion,2100
nginx,true,false,omitted-curly-braces,1
nginx,true,true,operator-precedence,14
gecko-dev,true,false,operator-precedence,94477
mongo,true,true,type-conversion,13
git,true,true,omitted-curly-braces,179
webkit,false,false,,3385421
gcc,true,true,omitted-curly-braces,3394
linux,false,true,conditional,2
mongo,true,false,assignment-as-value,3604
emacs,true,true,,15125
freebsd,false,false,repurposed-variable,944
httpd,false,false,comma-operator,18
mongo,true,true,repurposed-variable,155
vim,true,true,operator-precedence,114
emacs,true,false,implicit-predicate,1479
gecko-dev,true,true,comma-operator,47
gcc,true,true,,330422
linux,true,false,post-increment,20764
clang,true,false,type-conversion,705
httpd,true,true,logic-as-control-flow,3
gcc,true,true,operator-precedence,1773
nginx,true,false,post-increment,635
nginx,true,false,implicit-predicate,50
mongo,false,false,macro-operator-precedence,101
emacs,true,true,assignment-as-value,21
vim,true,true,pre-increment,12
linux,true,true,omitted-curly-braces,6087
subversion,true,false,logic-as-control-flow,24
mongo,false,false,logic-as-control-flow,23
gcc,false,false,implicit-predicate,1683
mysql-server,true,false,pre-increment,805
mongo,false,false,pre-increment,1
mongo,true,true,preprocessor-in-statement,11
httpd,true,false,type-conversion,29
gcc,false,false,literal-encoding,49
clang,true,false,literal-encoding,16
freebsd,true,true,implicit-predicate,1026
mysql-server,true,true,omitted-curly-braces,1215
freebsd,false,false,pre-increment,7
webkit,false,false,literal-encoding,33
gecko-dev,false,false,logic-as-control-flow,36
gecko-dev,false,false,pre-increment,3
clang,true,true,type-conversion,426
emacs,true,true,omitted-curly-braces,243
webkit,true,true,omitted-curly-braces,485
webkit,true,false,repurposed-variable,2694
webkit,true,false,post-increment,2451
freebsd,false,false,implicit-predicate,5891
freebsd,true,true,reversed-subscript,2
clang,false,true,post-increment,15
linux,true,false,logic-as-control-flow,1686
git,true,false,repurposed-variable,602
gecko-dev,true,true,conditional,234
vim,true,false,pre-increment,155
gcc,false,false,pre-increment,2
git,true,true,type-conversion,1
linux,true,false,conditional,42418
httpd,false,false,conditional,1
webkit,true,false,comma-operator,1048
gcc,true,false,logic-as-control-flow,912
git,true,true,,9171
gcc,true,true,pre-increment,63
freebsd,true,true,logic-as-control-flow,46
vim,true,true,implicit-predicate,71
gecko-dev,false,true,type-conversion,129
gecko-dev,true,true,logic-as-control-flow,28
gcc,false,true,literal-encoding,22
gcc,true,false,assignment-as-value,5429
subversion,true,false,implicit-predicate,390
linux,false,false,implicit-predicate,5821
nginx,true,true,repurposed-variable,2
nginx,true,true,assignment-as-value,3
freebsd,false,false,type-conversion,157
freebsd,true,true,assignment-as-value,655
mysql-server,true,true,type-conversion,40
vim,true,false,conditional,587
subversion,true,true,,22754
vim,true,true,,33494
gcc,true,false,literal-encoding,938
mongo,false,false,literal-encoding,48
git,true,false,assignment-as-value,700
subversion,true,false,type-conversion,7
gcc,true,false,comma-operator,4146
mongo,true,false,macro-operator-precedence,1
gcc,true,true,type-conversion,458
clang,false,false,repurposed-variable,181
git,false,false,logic-as-control-flow,12
vim,false,true,,16550
emacs,true,false,repurposed-variable,955
gcc,false,true,type-conversion,19
subversion,true,false,omitted-curly-braces,14200
clang,true,true,assignment-as-value,155
freebsd,true,false,literal-encoding,397
clang,true,true,repurposed-variable,398
mysql-server,true,true,repurposed-variable,112
vim,true,false,,498371
nginx,true,true,,2722
nginx,true,true,post-increment,6
subversion,true,true,conditional,33
freebsd,true,false,omitted-curly-braces,498052
gcc,true,false,conditional,14181
freebsd,true,true,pre-increment,177
webkit,true,true,implicit-predicate,21
vim,true,true,post-increment,62
gcc,true,false,reversed-subscript,12
mysql-server,false,true,,128321
clang,true,true,omitted-curly-braces,1448
webkit,true,false,omitted-curly-braces,69231
gecko-dev,false,false,type-conversion,33
mysql-server,false,false,omitted-curly-braces,24
clang,true,true,preprocessor-in-statement,4
gecko-dev,true,false,type-conversion,1709
emacs,true,true,implicit-predicate,31
mysql-server,true,false,repurposed-variable,1640
gcc,false,false,comma-operator,266
httpd,true,true,pre-increment,2
gcc,true,true,implicit-predicate,1586
gecko-dev,true,false,post-increment,9296
httpd,true,false,omitted-curly-braces,2165
subversion,true,false,conditional,1725
freebsd,false,false,post-increment,6
vim,false,true,macro-operator-precedence,2
clang,true,true,implicit-predicate,491
webkit,true,false,assignment-as-value,1788
clang,false,false,conditional,702
mysql-server,true,false,preprocessor-in-statement,220
clang,true,false,assignment-as-value,1183
vim,false,false,omitted-curly-braces,5
git,true,true,conditional,4
mongo,false,false,type-conversion,14
clang,false,false,omitted-curly-braces,20
emacs,false,false,conditional,5
mongo,false,false,comma-operator,666
vim,true,true,logic-as-control-flow,2
mysql-server,true,false,type-conversion,429
mongo,true,true,conditional,99
emacs,true,true,repurposed-variable,17
mongo,true,true,pre-increment,34
httpd,true,false,conditional,1106
freebsd,true,true,type-conversion,87
gcc,false,false,macro-operator-precedence,17
mysql-server,true,false,literal-encoding,13
mongo,true,false,,8398302
webkit,true,true,comma-operator,1
freebsd,true,false,preprocessor-in-statement,4559
clang,false,true,type-conversion,18
gcc,false,true,reversed-subscript,1
gecko-dev,false,true,macro-operator-precedence,23
vim,true,false,preprocessor-in-statement,126
vim,true,false,post-increment,537
linux,true,true,type-conversion,76
gecko-dev,true,false,pre-increment,2493
webkit,true,true,assignment-as-value,18
linux,false,true,type-conversion,223
clang,false,false,pre-increment,27
mysql-server,true,true,macro-operator-precedence,5
git,true,true,implicit-predicate,16
gcc,true,true,reversed-subscript,18
httpd,false,false,omitted-curly-braces,1
mongo,false,true,operator-precedence,193
nginx,false,false,,119605
mysql-server,true,true,logic-as-control-flow,18
git,true,false,conditional,1205
webkit,false,true,,111574
mysql-server,false,false,repurposed-variable,209
httpd,true,false,comma-operator,127
git,false,false,conditional,2
git,true,false,omitted-curly-braces,15358
nginx,true,true,pre-increment,1
gecko-dev,false,false,literal-encoding,120
subversion,false,false,implicit-predicate,61
freebsd,true,true,,863007
nginx,true,true,comma-operator,5
git,false,false,omitted-curly-braces,1
emacs,false,false,comma-operator,7
freebsd,false,false,logic-as-control-flow,99
vim,true,true,type-conversion,3
freebsd,true,false,implicit-predicate,62608
freebsd,false,false,assignment-as-value,47
clang,true,false,reversed-subscript,9
clang,false,false,type-conversion,65
gecko-dev,false,false,omitted-curly-braces,63
gecko-dev,true,false,,29231882
linux,true,true,post-increment,1310
gcc,false,false,omitted-curly-braces,158
mongo,true,true,post-increment,122
gecko-dev,true,true,assignment-as-value,173
httpd,true,true,post-increment,19
gcc,false,false,assignment-as-value,23
gecko-dev,false,true,,768855
mysql-server,true,false,macro-operator-precedence,11
gcc,true,true,preprocessor-in-statement,9
clang,false,false,assignment-as-value,23
subversion,false,false,,502321
mysql-server,true,false,comma-operator,4188
subversion,false,false,conditional,4
subversion,true,true,omitted-curly-braces,100
vim,true,false,operator-precedence,2171
