selection,parent-type,node-type,child-type,count
parens,multiplyAssign,bracketedPrimary,plus2,76
operator-precedence,plus2,tilde,function-call,9
parens,greaterThan,bracketedPrimary,multiplyAssign,69
parens,cast,bracketedPrimary,bracketedPrimary,185
superfluous-parens,postFixIncr,bracketedPrimary,bracketedPrimary,1
parens,lessThan,bracketedPrimary,assign,2833
parens,cast,bracketedPrimary,cast,385
parens,<InitializerList>,bracketedPrimary,cast,54
parens,field-reference,bracketedPrimary,minus1,25
superfluous-parens,equals,bracketedPrimary,postFixIncr,3
parens,equals,bracketedPrimary,minus2,914
parens,equals,bracketedPrimary,logicalOr,63
operator-precedence,greaterThan,tilde,<IdExpression>,2
parens,multiply,bracketedPrimary,plusAssign,5
parens,<IfStatement>,bracketedPrimary,assign,4989
parens,assign,bracketedPrimary,<TypeIdExpression>,6
superfluous-parens,divide,bracketedPrimary,minus1,18
parens,notequals,bracketedPrimary,logicalOr,41
superfluous-parens,assign,bracketedPrimary,<TypeIdExpression>,6
superfluous-parens,notequals,bracketedPrimary,array-subscript,19
parens,<EqualsInitializer>,bracketedPrimary,lessThan,94
parens,equals,bracketedPrimary,multiply,185
parens,plus2,bracketedPrimary,amper,30
superfluous-parens,logicalAnd,bracketedPrimary,binaryOr,54
parens,not,bracketedPrimary,notequals,436
parens,multiply,bracketedPrimary,assign,21
superfluous-parens,assign,bracketedPrimary,not,31
superfluous-parens,minus2,bracketedPrimary,<LiteralExpression>,1137
parens,<ForStatement>,bracketedPrimary,<IdExpression>,6
superfluous-parens,logicalOr,bracketedPrimary,postFixDecr,1
parens,logicalOr,bracketedPrimary,array-subscript,18
parens,divide,bracketedPrimary,field-reference,57
parens,array-subscript,bracketedPrimary,prefixIncr,3
parens,lessEqual,bracketedPrimary,array-subscript,4
parens,function-call,bracketedPrimary,binaryAndAssign,5
superfluous-parens,assign,bracketedPrimary,conditional,3291
parens,<DoStatement>,bracketedPrimary,binaryAnd,2
superfluous-parens,shiftLeft,bracketedPrimary,amper,1
parens,<EqualsInitializer>,bracketedPrimary,divide,229
parens,<WhileStatement>,bracketedPrimary,greaterThan,3
operator-precedence,lessThan,not,<IdExpression>,3885
parens,greaterThan,bracketedPrimary,bracketedPrimary,47
parens,<DoStatement>,bracketedPrimary,plus2,2
operator-precedence,logicalOr,divide,,16
operator-precedence,multiply,tilde,<IdExpression>,11
parens,<ExpressionStatement>,bracketedPrimary,conditional,70
parens,bracketedPrimary,bracketedPrimary,divide,4221
superfluous-parens,delete,bracketedPrimary,<IdExpression>,39
parens,expression-list,bracketedPrimary,shiftLeft,4
parens,conditional,bracketedPrimary,new,2
parens,plusAssign,bracketedPrimary,logicalAnd,5
parens,<FieldDeclarator>,bracketedPrimary,minus2,12
operator-precedence,shiftRight,not,not,4
superfluous-parens,conditional,bracketedPrimary,function-call,472
parens,plus2,bracketedPrimary,equals,395
superfluous-parens,cast,bracketedPrimary,<IdExpression>,2401
superfluous-parens,shiftLeftAssign,bracketedPrimary,plus2,9
parens,binaryOr,bracketedPrimary,conditional,3359
operator-precedence,plus2,tilde,bracketedPrimary,43
parens,divide,bracketedPrimary,shiftLeft,936
operator-precedence,shiftLeft,star,prefixIncr,8
parens,function-call,bracketedPrimary,pmarrow,758
