selection,parent-type,node-type,child-type,count
superfluous-parens,plusAssign,bracketedPrimary,binaryOr,18
parens,<PackExpansionExpression>,bracketedPrimary,assign,1
parens,assign,bracketedPrimary,multiply,562
operator-precedence,tilde,star,function-call,1
superfluous-parens,conditional,bracketedPrimary,minus2,1104
superfluous-parens,greaterThan,bracketedPrimary,<LambdaExpression>,1
parens,<SimpleDeclSpecifier>,bracketedPrimary,lessEqual,2
operator-precedence,conditional,tilde,field-reference,6
superfluous-parens,multiply,bracketedPrimary,bracketedPrimary,69
parens,assign,bracketedPrimary,expression-list,54
operator-precedence,shiftLeft,tilde,array-subscript,3
parens,logicalOr,bracketedPrimary,greaterEqual,1419
parens,binaryXor,bracketedPrimary,logicalAnd,37
superfluous-parens,logicalOr,bracketedPrimary,logicalAnd,35380
parens,tilde,bracketedPrimary,minus1,5
parens,minusAssign,bracketedPrimary,binaryAnd,36
superfluous-parens,binaryAndAssign,bracketedPrimary,logicalOr,18
parens,cast,bracketedPrimary,multiplyAssign,5
parens,minus1,bracketedPrimary,minus1,12
parens,function-call,bracketedPrimary,greaterThan,330
operator-precedence,plus2,star,field-reference,56
parens,notequals,bracketedPrimary,prefixIncr,1
superfluous-parens,function-call,bracketedPrimary,minus1,49
parens,greaterThan,bracketedPrimary,equals,17
parens,field-reference,bracketedPrimary,conditional,169
superfluous-parens,greaterThan,bracketedPrimary,multiply,439
parens,moduloAssign,bracketedPrimary,divide,2
parens,shiftLeftAssign,bracketedPrimary,shiftLeft,3
parens,minusAssign,bracketedPrimary,shiftLeft,74
parens,multiply,bracketedPrimary,greaterEqual,15
parens,shiftRight,bracketedPrimary,minus2,3986
parens,greaterThan,bracketedPrimary,<TypeIdExpression>,14
superfluous-parens,binaryXor,bracketedPrimary,shiftRight,1300
superfluous-parens,notequals,bracketedPrimary,star,117
parens,delete,bracketedPrimary,field-reference,34
parens,binaryAndAssign,bracketedPrimary,binaryOr,338
parens,star,bracketedPrimary,prefixIncr,616
parens,minus2,bracketedPrimary,new,1
parens,logicalOr,bracketedPrimary,minusAssign,1
operator-precedence,binaryXor,tilde,<LiteralExpression>,31
parens,<TemplateId>,bracketedPrimary,multiply,2
operator-precedence,equals,shiftRight,,244
parens,equals,bracketedPrimary,cast,160
parens,multiplyAssign,bracketedPrimary,binaryAnd,1
operator-precedence,star,prefixDecr,function-call,14
superfluous-parens,plus2,bracketedPrimary,<IdExpression>,833
parens,<ReturnStatement>,bracketedPrimary,prefixDecr,5
parens,moduloAssign,bracketedPrimary,shiftLeft,1
superfluous-parens,notequals,bracketedPrimary,plus2,510
superfluous-parens,logicalOr,bracketedPrimary,greaterEqual,1377
superfluous-parens,minusAssign,bracketedPrimary,logicalOr,1
operator-precedence,binaryAnd,minus1,array-subscript,1
superfluous-parens,sizeof,bracketedPrimary,amper,436
superfluous-parens,modulo,bracketedPrimary,tilde,2
parens,<EqualsInitializer>,bracketedPrimary,function-call,74
superfluous-parens,notequals,bracketedPrimary,greaterThan,75
parens,binaryAnd,bracketedPrimary,divide,298
superfluous-parens,pmarrow,bracketedPrimary,cast,3
superfluous-parens,conditional,bracketedPrimary,<LiteralExpression>,225
parens,logicalAnd,bracketedPrimary,minus2,10
superfluous-parens,binaryXorAssign,bracketedPrimary,shiftLeft,138
parens,<ArrayModifier>,bracketedPrimary,<IdExpression>,1
superfluous-parens,expression-list,bracketedPrimary,shiftLeft,4
operator-precedence,logicalAnd,postFixIncr,<IdExpression>,1
parens,logicalAnd,bracketedPrimary,postFixIncr,2
parens,equals,bracketedPrimary,tilde,18
parens,not,bracketedPrimary,binaryAnd,34977
operator-precedence,divide,minus1,<IdExpression>,201
parens,<DoStatement>,bracketedPrimary,logicalAnd,1
superfluous-parens,conditional,bracketedPrimary,bracketedPrimary,85
superfluous-parens,notequals,bracketedPrimary,field-reference,57
parens,conditional,bracketedPrimary,modulo,222
parens,expression-list,bracketedPrimary,<IdExpression>,3
superfluous-parens,function-call,bracketedPrimary,notequals,530
parens,tilde,bracketedPrimary,conditional,48
operator-precedence,minus2,multiply,,10329
parens,minus2,bracketedPrimary,shiftRight,1308
superfluous-parens,array-subscript,bracketedPrimary,array-subscript,29
parens,divide,bracketedPrimary,shiftRight,119
operator-precedence,notequals,minus1,<LiteralExpression>,16
parens,plusAssign,bracketedPrimary,lessEqual,5
superfluous-parens,binaryAndAssign,bracketedPrimary,<LiteralExpression>,2
parens,modulo,bracketedPrimary,binaryAnd,38
parens,shiftLeft,bracketedPrimary,shiftRight,971
parens,logicalOr,bracketedPrimary,minus1,2
parens,equals,bracketedPrimary,field-reference,171
superfluous-parens,notequals,bracketedPrimary,<LiteralExpression>,8
superfluous-parens,greaterThan,bracketedPrimary,prefixIncr,4
parens,field-reference,bracketedPrimary,bracketedPrimary,72
superfluous-parens,function-call,bracketedPrimary,plusAssign,2
parens,<ReturnStatement>,bracketedPrimary,lessEqual,136
superfluous-parens,logicalAnd,bracketedPrimary,not,2506
superfluous-parens,binaryOrAssign,bracketedPrimary,binaryAnd,1181
parens,<ConstructorInitializer>,bracketedPrimary,logicalOr,94
operator-precedence,logicalOr,logicalAnd,,131
superfluous-parens,shiftRight,bracketedPrimary,star,305
superfluous-parens,divideAssign,bracketedPrimary,minus2,22
parens,divide,bracketedPrimary,prefixIncr,4
superfluous-parens,shiftLeft,bracketedPrimary,postFixIncr,3
parens,modulo,bracketedPrimary,assign,16
superfluous-parens,array-subscript,bracketedPrimary,bracketedPrimary,19
parens,conditional,bracketedPrimary,divide,205
parens,notequals,bracketedPrimary,tilde,5
superfluous-parens,star,bracketedPrimary,prefixIncr,616
superfluous-parens,binaryAndAssign,bracketedPrimary,function-call,1
parens,<ReturnStatement>,bracketedPrimary,binaryXor,56
parens,not,bracketedPrimary,shiftRightAssign,16
parens,binaryXor,bracketedPrimary,bracketedPrimary,1
parens,<SimpleDeclSpecifier>,bracketedPrimary,minus1,1
parens,minus1,bracketedPrimary,shiftLeft,206
parens,shiftLeft,bracketedPrimary,<LiteralExpression>,291
operator-precedence,logicalOr,minus1,<LiteralExpression>,2
parens,logicalOr,bracketedPrimary,postFixDecr,1
parens,not,bracketedPrimary,binaryXor,83
parens,shiftRight,bracketedPrimary,logicalAnd,3
operator-precedence,plus2,star,function-call,16
parens,logicalOr,bracketedPrimary,lessThan,3810
parens,shiftLeft,bracketedPrimary,binaryAnd,9545
parens,divide,bracketedPrimary,cast,341
operator-precedence,greaterThan,shiftRight,,106
parens,tilde,bracketedPrimary,<IdExpression>,827
parens,logicalAnd,bracketedPrimary,array-subscript,59
operator-precedence,multiply,tilde,array-subscript,1
operator-precedence,greaterThan,not,<LiteralExpression>,4
parens,amper,bracketedPrimary,greaterThan,5
operator-precedence,binaryXor,lessEqual,,1
parens,tilde,bracketedPrimary,modulo,10
parens,equals,bracketedPrimary,notequals,154
superfluous-parens,plusAssign,bracketedPrimary,notequals,24
parens,<ForStatement>,bracketedPrimary,logicalOr,15
parens,plus2,bracketedPrimary,<LiteralExpression>,57
parens,cast,bracketedPrimary,plusAssign,23
parens,shiftLeft,bracketedPrimary,<IdExpression>,1640
parens,<WhileStatement>,bracketedPrimary,notequals,12
operator-precedence,amper,field-reference,,563369
operator-precedence,binaryOr,tilde,bracketedPrimary,156
parens,minus1,bracketedPrimary,assign,13
operator-precedence,expression-list,greaterThan,,3900
parens,prefixDecr,bracketedPrimary,star,70
operator-precedence,greaterThan,tilde,<LiteralExpression>,7
superfluous-parens,<UnaryExpression>,bracketedPrimary,<SimpleTypeConstructorExpression>,1
parens,expression-list,bracketedPrimary,greaterThan,5
parens,shiftRightAssign,bracketedPrimary,cast,1
superfluous-parens,function-call,bracketedPrimary,new,2
parens,<ReturnStatement>,bracketedPrimary,greaterThan,503
operator-precedence,expression-list,assign,greaterThan,18
operator-precedence,plus2,star,cast,61
superfluous-parens,greaterEqual,bracketedPrimary,<LiteralExpression>,8
parens,<ConstructorInitializer>,bracketedPrimary,function-call,64
parens,sizeof,bracketedPrimary,minus1,3
parens,shiftLeft,bracketedPrimary,notequals,95
parens,cast,bracketedPrimary,array-subscript,499
parens,<ReturnStatement>,bracketedPrimary,shiftLeftAssign,1
parens,bracketedPrimary,bracketedPrimary,binaryOr,24710
parens,shiftLeftAssign,bracketedPrimary,field-reference,6
superfluous-parens,greaterEqual,bracketedPrimary,minus2,653
parens,array-subscript,bracketedPrimary,binaryAnd,145
operator-precedence,divide,not,<LiteralExpression>,1
parens,sizeof,bracketedPrimary,<CompoundStatementExpression>,2
superfluous-parens,minus2,bracketedPrimary,array-subscript,15
superfluous-parens,logicalOr,bracketedPrimary,not,1479
operator-precedence,logicalOr,not,bracketedPrimary,4789
parens,greaterEqual,bracketedPrimary,conditional,60
superfluous-parens,lessThan,bracketedPrimary,<LiteralExpression>,16
superfluous-parens,shiftRight,bracketedPrimary,multiply,2528
parens,not,bracketedPrimary,binaryOr,130
parens,greaterThan,bracketedPrimary,binaryAndAssign,3
parens,<InitializerList>,bracketedPrimary,shiftRight,2
parens,conditional,bracketedPrimary,throw,8
superfluous-parens,lessEqual,bracketedPrimary,bracketedPrimary,3
parens,minus1,bracketedPrimary,divide,66
superfluous-parens,function-call,bracketedPrimary,bracketedPrimary,58
superfluous-parens,not,bracketedPrimary,star,390
superfluous-parens,assign,bracketedPrimary,plus2,1797
operator-precedence,equals,not,array-subscript,3
parens,<WhileStatement>,bracketedPrimary,shiftLeftAssign,1
parens,assign,bracketedPrimary,<TypeIdInitializerExpression>,47
parens,tilde,bracketedPrimary,<LiteralExpression>,347
parens,lessEqual,bracketedPrimary,bracketedPrimary,3
parens,function-call,bracketedPrimary,multiply,960
superfluous-parens,expression-list,bracketedPrimary,plus2,7
parens,bracketedPrimary,bracketedPrimary,shiftRightAssign,2
operator-precedence,lessEqual,tilde,<LiteralExpression>,1
parens,shiftRightAssign,bracketedPrimary,binaryAnd,5
parens,array-subscript,bracketedPrimary,bracketedPrimary,25
superfluous-parens,assign,bracketedPrimary,array-subscript,113
operator-precedence,binaryXor,greaterThan,,29
superfluous-parens,conditional,bracketedPrimary,shiftLeft,408
superfluous-parens,binaryOrAssign,bracketedPrimary,shiftRight,220
superfluous-parens,greaterEqual,bracketedPrimary,divide,137
superfluous-parens,binaryOrAssign,bracketedPrimary,function-call,23
operator-precedence,modulo,tilde,bracketedPrimary,7
superfluous-parens,binaryOrAssign,bracketedPrimary,plus2,28
parens,binaryAndAssign,bracketedPrimary,field-reference,2
parens,greaterThan,bracketedPrimary,lessEqual,9
superfluous-parens,plus2,bracketedPrimary,prefixDecr,1
parens,minus2,bracketedPrimary,<UnaryExpression>,4
parens,field-reference,bracketedPrimary,pmarrow,35
superfluous-parens,array-subscript,bracketedPrimary,multiply,27
superfluous-parens,bracketedPrimary,bracketedPrimary,<SimpleTypeConstructorExpression>,1
superfluous-parens,not,bracketedPrimary,tilde,8
parens,plus2,bracketedPrimary,minus1,72
superfluous-parens,greaterThan,bracketedPrimary,shiftRight,356
parens,lessThan,bracketedPrimary,binaryOr,24
parens,<ArrayModifier>,bracketedPrimary,minus2,4
parens,lessThan,bracketedPrimary,minusAssign,60
superfluous-parens,multiplyAssign,bracketedPrimary,field-reference,4
parens,plus2,bracketedPrimary,conditional,2610
superfluous-parens,greaterThan,bracketedPrimary,field-reference,48
parens,plusAssign,bracketedPrimary,expression-list,2
parens,star,bracketedPrimary,<LiteralExpression>,1
parens,<IfStatement>,bracketedPrimary,logicalOr,327
parens,conditional,bracketedPrimary,multiplyAssign,5
superfluous-parens,lessThan,bracketedPrimary,lessThan,1
parens,lessEqual,bracketedPrimary,multiply,137
parens,assign,bracketedPrimary,minus1,132
parens,bracketedPrimary,bracketedPrimary,greaterEqual,334
superfluous-parens,lessEqual,bracketedPrimary,plus2,632
superfluous-parens,equals,bracketedPrimary,<SimpleTypeConstructorExpression>,3
parens,multiply,bracketedPrimary,postFixIncr,68
parens,bracketedPrimary,bracketedPrimary,<TypeIdInitializerExpression>,394
superfluous-parens,greaterThan,bracketedPrimary,prefixDecr,5
superfluous-parens,greaterThan,bracketedPrimary,array-subscript,11
superfluous-parens,logicalOr,bracketedPrimary,function-call,461
operator-precedence,shiftLeft,not,function-call,26
parens,greaterEqual,bracketedPrimary,divide,156
parens,logicalAnd,bracketedPrimary,expression-list,203
operator-precedence,binaryOr,star,postFixDecr,2
parens,<EqualsInitializer>,bracketedPrimary,binaryAndAssign,2
superfluous-parens,binaryOrAssign,bracketedPrimary,greaterThan,20
operator-precedence,logicalAnd,not,<IdExpression>,36254
superfluous-parens,shiftLeftAssign,bracketedPrimary,multiply,21
operator-precedence,minus1,tilde,minus1,6
parens,<SimpleDeclSpecifier>,bracketedPrimary,<CompoundStatementExpression>,4
parens,<ConstructorInitializer>,bracketedPrimary,shiftLeft,1
superfluous-parens,minusAssign,bracketedPrimary,notequals,4
parens,plusAssign,bracketedPrimary,multiply,1042
superfluous-parens,plus2,bracketedPrimary,tilde,25
parens,plusAssign,bracketedPrimary,binaryOr,18
parens,plus1,bracketedPrimary,assign,4
parens,<SimpleDeclSpecifier>,bracketedPrimary,pmarrow,2
operator-precedence,binaryOr,tilde,field-reference,32
parens,field-reference,bracketedPrimary,modulo,10
superfluous-parens,cast,bracketedPrimary,<TypeIdExpression>,33
parens,sizeof,bracketedPrimary,cast,19
operator-precedence,notequals,not,field-reference,49
parens,assign,bracketedPrimary,array-subscript,114
superfluous-parens,logicalAnd,bracketedPrimary,array-subscript,59
operator-precedence,tilde,star,postFixIncr,28
operator-precedence,divide,minus1,<LiteralExpression>,242
parens,notequals,bracketedPrimary,equals,416
parens,cast,bracketedPrimary,lessThan,90
superfluous-parens,equals,bracketedPrimary,bracketedPrimary,40
parens,greaterEqual,bracketedPrimary,<IdExpression>,56
operator-precedence,expression-list,postFixDecr,field-reference,24
superfluous-parens,plus1,bracketedPrimary,prefixDecr,2
operator-precedence,logicalOr,plus2,,5
parens,multiply,bracketedPrimary,multiplyAssign,22
parens,shiftLeft,bracketedPrimary,expression-list,31
parens,logicalAnd,bracketedPrimary,minus1,2
operator-precedence,modulo,minus1,bracketedPrimary,8
parens,not,bracketedPrimary,tilde,8
parens,<Enumerator>,bracketedPrimary,multiply,30
parens,multiplyAssign,bracketedPrimary,binaryOr,4
superfluous-parens,sizeof,bracketedPrimary,plus1,1
superfluous-parens,function-call,bracketedPrimary,binaryOrAssign,2
superfluous-parens,shiftRight,bracketedPrimary,divide,148
superfluous-parens,star,bracketedPrimary,postFixIncr,2593
parens,binaryAnd,bracketedPrimary,lessThan,74
superfluous-parens,equals,bracketedPrimary,pmarrow,1
superfluous-parens,binaryOrAssign,bracketedPrimary,minus1,2
superfluous-parens,plus1,bracketedPrimary,postFixDecr,2
operator-precedence,conditional,tilde,function-call,7
operator-precedence,greaterThan,field-reference,,1
parens,<EqualsInitializer>,bracketedPrimary,divideAssign,3
parens,shiftRight,bracketedPrimary,shiftRight,126
superfluous-parens,binaryOr,bracketedPrimary,greaterThan,58
superfluous-parens,binaryOrAssign,bracketedPrimary,cast,17
parens,multiply,bracketedPrimary,<IdExpression>,2196
operator-precedence,plus2,minus1,bracketedPrimary,110
superfluous-parens,pmarrow,bracketedPrimary,<LiteralExpression>,2
parens,not,bracketedPrimary,shiftRight,90
operator-precedence,plus2,star,<LiteralExpression>,67
parens,<ReturnStatement>,bracketedPrimary,shiftRight,192
superfluous-parens,notequals,bracketedPrimary,prefixDecr,2
operator-precedence,binaryAnd,not,function-call,30
parens,array-subscript,bracketedPrimary,expression-list,1
parens,notequals,bracketedPrimary,greaterEqual,52
parens,<ReturnStatement>,bracketedPrimary,logicalOr,1768
superfluous-parens,cast,bracketedPrimary,tilde,22
superfluous-parens,sizeof,bracketedPrimary,minus1,3
superfluous-parens,divide,bracketedPrimary,function-call,48
parens,function-call,bracketedPrimary,lessThan,82
operator-precedence,shiftLeft,star,star,18
superfluous-parens,binaryOr,bracketedPrimary,tilde,37
parens,tilde,bracketedPrimary,shiftLeft,4675
superfluous-parens,multiply,bracketedPrimary,modulo,527
parens,shiftRight,bracketedPrimary,field-reference,128
superfluous-parens,shiftRight,bracketedPrimary,function-call,172
superfluous-parens,lessEqual,bracketedPrimary,field-reference,9
parens,multiply,bracketedPrimary,notequals,54
parens,lessThan,bracketedPrimary,shiftRight,307
operator-precedence,minus2,tilde,<IdExpression>,7
parens,binaryAnd,bracketedPrimary,logicalOr,13
parens,<SimpleDeclSpecifier>,bracketedPrimary,bracketedPrimary,17
operator-precedence,divide,multiply,,8243
parens,conditional,bracketedPrimary,lessEqual,514
parens,star,bracketedPrimary,conditional,47
parens,<ExpressionStatement>,bracketedPrimary,<LiteralExpression>,44
parens,binaryOrAssign,bracketedPrimary,star,219
parens,shiftRight,bracketedPrimary,multiply,2545
operator-precedence,logicalAnd,not,function-call,54351
parens,logicalAnd,bracketedPrimary,binaryXor,57
operator-precedence,shiftLeft,minus1,tilde,1
parens,array-subscript,bracketedPrimary,cast,3702
superfluous-parens,function-call,bracketedPrimary,greaterEqual,52
parens,greaterEqual,bracketedPrimary,postFixIncr,4
parens,array-subscript,bracketedPrimary,plusAssign,4
parens,binaryAndAssign,bracketedPrimary,plus2,1
superfluous-parens,function-call,bracketedPrimary,prefixIncr,14
parens,greaterThan,bracketedPrimary,notequals,7
superfluous-parens,assign,bracketedPrimary,binaryAndAssign,11
parens,modulo,bracketedPrimary,star,21
superfluous-parens,cast,bracketedPrimary,sizeof,7
parens,greaterEqual,bracketedPrimary,minusAssign,75
superfluous-parens,function-call,bracketedPrimary,minus2,1201
superfluous-parens,lessEqual,bracketedPrimary,not,4
parens,<EqualsInitializer>,bracketedPrimary,binaryAnd,786
parens,field-reference,bracketedPrimary,divide,36
parens,modulo,bracketedPrimary,minus2,1341
operator-precedence,binaryOr,star,prefixIncr,13
superfluous-parens,conditional,bracketedPrimary,logicalOr,1397
parens,notequals,bracketedPrimary,minus1,15
superfluous-parens,prefixIncr,bracketedPrimary,prefixIncr,1
parens,logicalAnd,bracketedPrimary,modulo,80
parens,<EqualsInitializer>,bracketedPrimary,notequals,524
superfluous-parens,delete,bracketedPrimary,<LiteralExpression>,56
superfluous-parens,expression-list,bracketedPrimary,amper,11
parens,multiply,bracketedPrimary,divide,3476
parens,<DoStatement>,bracketedPrimary,lessEqual,1
parens,<TemplateId>,bracketedPrimary,minus2,16
parens,notequals,bracketedPrimary,binaryAndAssign,8
parens,<ForStatement>,bracketedPrimary,equals,1
parens,<InitializerList>,bracketedPrimary,<LiteralExpression>,153
parens,divide,bracketedPrimary,<TypeIdInitializerExpression>,2
parens,<InitializerList>,bracketedPrimary,expression-list,22
superfluous-parens,sizeof,bracketedPrimary,sizeof,2
parens,array-subscript,bracketedPrimary,postFixIncr,7
superfluous-parens,binaryAnd,bracketedPrimary,greaterThan,118
parens,binaryOrAssign,bracketedPrimary,binaryAnd,1183
parens,array-subscript,bracketedPrimary,lessEqual,1
parens,conditional,bracketedPrimary,moduloAssign,2
parens,equals,bracketedPrimary,bracketedPrimary,42
operator-precedence,minus2,plus1,field-reference,1
superfluous-parens,prefixIncr,bracketedPrimary,bracketedPrimary,1
operator-precedence,divide,minus1,bracketedPrimary,60
operator-precedence,conditional,lessEqual,,805
parens,field-reference,bracketedPrimary,tilde,12
superfluous-parens,prefixDecr,bracketedPrimary,function-call,8
parens,modulo,bracketedPrimary,prefixIncr,27
operator-precedence,plus2,star,amper,22
parens,sizeof,bracketedPrimary,<SimpleTypeConstructorExpression>,15
parens,cast,bracketedPrimary,shiftRight,1582
parens,conditional,bracketedPrimary,logicalAnd,2086
operator-precedence,binaryXor,star,prefixDecr,1
parens,function-call,bracketedPrimary,bracketedPrimary,58
parens,binaryAndAssign,bracketedPrimary,<LiteralExpression>,2
parens,binaryOrAssign,bracketedPrimary,function-call,23
operator-precedence,shiftRight,minus1,<IdExpression>,88
parens,notequals,bracketedPrimary,divide,117
superfluous-parens,assign,bracketedPrimary,prefixIncr,5
parens,<BinaryExpression>,bracketedPrimary,plus2,14
parens,pmarrow,bracketedPrimary,greaterThan,6
operator-precedence,multiply,divide,,1327
parens,assign,bracketedPrimary,logicalAnd,1025
parens,field-reference,bracketedPrimary,<LiteralExpression>,264
operator-precedence,binaryOr,binaryOr,,39
parens,<Enumerator>,bracketedPrimary,tilde,1
operator-precedence,logicalAnd,prefixDecr,<IdExpression>,5
operator-precedence,shiftRight,star,prefixDecr,7
superfluous-parens,binaryOrAssign,bracketedPrimary,notequals,129
superfluous-parens,equals,bracketedPrimary,function-call,167
operator-precedence,expression-list,star,function-call,171
operator-precedence,expression-list,multiply,,202
operator-precedence,notequals,not,delete,1
parens,cast,bracketedPrimary,amper,1501
superfluous-parens,array-subscript,bracketedPrimary,binaryXor,1
parens,<TemplateId>,bracketedPrimary,logicalOr,23
parens,<ExpressionStatement>,bracketedPrimary,greaterThan,1
parens,field-reference,bracketedPrimary,<IdExpression>,5783
parens,pmarrow,bracketedPrimary,cast,3
operator-precedence,conditional,logicalOr,,633
superfluous-parens,shiftLeft,bracketedPrimary,bracketedPrimary,118
parens,<Enumerator>,bracketedPrimary,logicalAnd,8
operator-precedence,shiftRight,tilde,star,2
operator-precedence,lessThan,tilde,<LiteralExpression>,8
operator-precedence,multiply,field-reference,,1
superfluous-parens,bracketedPrimary,bracketedPrimary,not,5
superfluous-parens,minus1,bracketedPrimary,<LiteralExpression>,10
superfluous-parens,notequals,bracketedPrimary,greaterEqual,52
parens,conditional,bracketedPrimary,prefixDecr,1
operator-precedence,logicalOr,greaterEqual,,268
parens,<TemplateId>,bracketedPrimary,logicalAnd,76
parens,minus2,bracketedPrimary,plus2,2485
superfluous-parens,binaryAndAssign,bracketedPrimary,greaterThan,9
operator-precedence,binaryOr,not,<IdExpression>,158
superfluous-parens,modulo,bracketedPrimary,function-call,14
parens,function-call,bracketedPrimary,not,150
superfluous-parens,expression-list,bracketedPrimary,minusAssign,2
parens,lessEqual,bracketedPrimary,greaterThan,15
operator-precedence,binaryOr,star,field-reference,4
parens,plusAssign,bracketedPrimary,divideAssign,1
superfluous-parens,lessThan,bracketedPrimary,not,4
operator-precedence,binaryAnd,minus1,<LiteralExpression>,191
superfluous-parens,binaryOrAssign,bracketedPrimary,assign,15
superfluous-parens,conditional,bracketedPrimary,shiftRight,158
parens,pmarrow,bracketedPrimary,function-call,5
parens,lessEqual,bracketedPrimary,field-reference,9
superfluous-parens,minusAssign,bracketedPrimary,<IdExpression>,13
parens,shiftRight,bracketedPrimary,binaryAndAssign,1
parens,amper,bracketedPrimary,assign,2
parens,<SimpleDeclSpecifier>,bracketedPrimary,lessThan,3
superfluous-parens,postFixDecr,bracketedPrimary,function-call,1
parens,minus2,bracketedPrimary,not,6
operator-precedence,equals,not,star,6
operator-precedence,expression-list,star,<IdExpression>,1831
superfluous-parens,assign,bracketedPrimary,greaterEqual,220
superfluous-parens,binaryXor,bracketedPrimary,lessThan,104
parens,binaryOrAssign,bracketedPrimary,assign,15
parens,conditional,bracketedPrimary,<TypeIdInitializerExpression>,3
parens,lessThan,bracketedPrimary,prefixIncr,2
parens,<UnaryExpression>,bracketedPrimary,greaterThan,1
operator-precedence,binaryAnd,equals,,100
superfluous-parens,conditional,bracketedPrimary,divide,205
operator-precedence,expression-list,amper,field-reference,35
operator-precedence,greaterThan,not,star,1
parens,<IfStatement>,bracketedPrimary,star,3
operator-precedence,binaryAnd,minus1,<IdExpression>,281
parens,shiftRight,bracketedPrimary,<LiteralExpression>,55
parens,modulo,bracketedPrimary,multiply,465
superfluous-parens,function-call,bracketedPrimary,binaryAnd,1889
parens,binaryAndAssign,bracketedPrimary,equals,77
parens,lessEqual,bracketedPrimary,logicalAnd,3
parens,lessThan,bracketedPrimary,divide,621
superfluous-parens,modulo,bracketedPrimary,modulo,36
parens,divideAssign,bracketedPrimary,plusAssign,1
parens,greaterThan,bracketedPrimary,<SimpleTypeConstructorExpression>,12
superfluous-parens,modulo,bracketedPrimary,<LiteralExpression>,5
parens,function-call,bracketedPrimary,divide,329
superfluous-parens,field-reference,bracketedPrimary,array-subscript,269
parens,<EqualsInitializer>,bracketedPrimary,greaterEqual,61
superfluous-parens,logicalOr,bracketedPrimary,prefixDecr,1
parens,pmdot,bracketedPrimary,star,36
superfluous-parens,bracketedPrimary,bracketedPrimary,conditional,69
parens,bracketedPrimary,bracketedPrimary,<TypeIdExpression>,367
parens,plus2,bracketedPrimary,plus2,1151
operator-precedence,shiftLeft,amper,function-call,2
operator-precedence,binaryAnd,lessThan,,34
parens,logicalAnd,bracketedPrimary,not,2510
superfluous-parens,notequals,bracketedPrimary,shiftLeft,277
operator-precedence,shiftLeft,amper,<IdExpression>,87
parens,field-reference,bracketedPrimary,binaryAnd,90
superfluous-parens,function-call,bracketedPrimary,conditional,3699
parens,shiftRight,bracketedPrimary,binaryAnd,11179
parens,<SwitchStatement>,bracketedPrimary,binaryAnd,64
superfluous-parens,minus2,bracketedPrimary,postFixIncr,2
parens,<ForStatement>,bracketedPrimary,logicalAnd,160
operator-precedence,logicalAnd,binaryOr,,12
parens,bracketedPrimary,bracketedPrimary,assign,1931
parens,notequals,bracketedPrimary,lessThan,168
superfluous-parens,lessThan,bracketedPrimary,<TypeIdExpression>,8
parens,assign,bracketedPrimary,minus2,1311
superfluous-parens,not,bracketedPrimary,function-call,1351
parens,sizeof,bracketedPrimary,postFixIncr,4
parens,assign,bracketedPrimary,star,1039
parens,divideAssign,bracketedPrimary,divide,31
operator-precedence,logicalOr,equals,,3170
parens,multiply,bracketedPrimary,plus2,13517
parens,<Enumerator>,bracketedPrimary,equals,12
parens,<EqualsInitializer>,bracketedPrimary,prefixIncr,1
operator-precedence,logicalAnd,greaterEqual,,478
parens,shiftRight,bracketedPrimary,equals,1
operator-precedence,binaryXor,minus1,cast,6
parens,function-call,bracketedPrimary,cast,678
parens,<ConstructorInitializer>,bracketedPrimary,expression-list,60
superfluous-parens,notequals,bracketedPrimary,modulo,611
superfluous-parens,binaryAnd,bracketedPrimary,tilde,1232
operator-precedence,binaryXor,field-reference,,14
parens,<IfStatement>,bracketedPrimary,lessThan,40
parens,bracketedPrimary,bracketedPrimary,plus2,40407
parens,logicalOr,bracketedPrimary,<IdExpression>,199
parens,minusAssign,bracketedPrimary,<LiteralExpression>,1
operator-precedence,lessThan,plus2,,3
parens,minus1,bracketedPrimary,array-subscript,3
operator-precedence,binaryAnd,not,not,2
parens,cast,bracketedPrimary,new,7
parens,<SimpleDeclSpecifier>,bracketedPrimary,array-subscript,11
parens,greaterEqual,bracketedPrimary,not,4
operator-precedence,expression-list,prefixIncr,<IdExpression>,3780
parens,delete,bracketedPrimary,new,1
superfluous-parens,expression-list,bracketedPrimary,conditional,99
parens,assign,bracketedPrimary,sizeof,1
parens,field-reference,bracketedPrimary,function-call,1931
superfluous-parens,binaryXor,bracketedPrimary,array-subscript,15
parens,minus1,bracketedPrimary,<IdExpression>,32
parens,minus2,bracketedPrimary,lessEqual,3
parens,delete,bracketedPrimary,star,45
operator-precedence,minus1,not,bracketedPrimary,3
parens,bracketedPrimary,bracketedPrimary,multiplyAssign,2
parens,shiftRightAssign,bracketedPrimary,star,2
parens,assign,bracketedPrimary,logicalOr,972
parens,minusAssign,bracketedPrimary,lessThan,10
superfluous-parens,greaterEqual,bracketedPrimary,shiftRight,126
superfluous-parens,postFixDecr,bracketedPrimary,field-reference,33
operator-precedence,logicalAnd,shiftLeft,,7
parens,<TemplateId>,bracketedPrimary,modulo,1
parens,<DoStatement>,bracketedPrimary,equals,4
parens,expression-list,bracketedPrimary,cast,42
operator-precedence,binaryOr,tilde,array-subscript,4
parens,shiftRightAssign,bracketedPrimary,modulo,2
parens,cast,bracketedPrimary,pmdot,13
